,ID,YEAR,MONTH,DAY,HOUR,MINUTE,LATITUDE,LONGITUDE,EQ_MAGNITUDE,EQ_DEPTH,TS_INTENSITY
1050,1820,1952,3.0,19.0,10.0,57.0,9,127.25,7.8,25.0,
1051,1818,1952,3.0,9.0,17.0,4.0,41,143.6,7.0,20.0,-2.0
1052,1815,1951,8.0,21.0,10.0,57.0,19,-156.0,6.9,12.0,0.5
1053,1813,1950,12.0,14.0,14.0,15.0,16,-98.22,7.5,50.0,
1054,1812,1950,12.0,10.0,2.0,50.0,-14,-77.75,7.0,80.0,0.0
1055,1808,1950,10.0,5.0,16.0,9.0,11,-85.0,7.7,33.0,-2.0
1056,1806,1950,8.0,15.0,14.0,9.0,28,96.5,8.6,33.0,
1057,1805,1950,8.0,3.0,,,10,-68.0,6.8,,
1058,1801,1949,12.0,17.0,15.0,7.0,-54,-71.0,7.8,33.0,
1059,1795,1949,8.0,22.0,4.0,1.0,53,-133.3,8.1,25.0,
1060,1787,1949,7.0,23.0,15.0,3.0,38,26.482,6.5,15.0,2.0
1061,1792,1949,4.0,20.0,3.0,29.0,-38,-73.5,7.3,70.0,
1062,1790,1949,4.0,13.0,19.0,56.0,47,-122.617,7.0,70.0,
1063,1785,1948,12.0,3.0,0.0,22.0,22,-106.0,6.9,,1.5
1064,1784,1948,9.0,8.0,15.0,9.0,-21,-174.0,7.8,33.0,1.5
1065,1782,1948,4.0,22.0,10.0,42.0,38,20.427,6.5,15.0,4.0
1066,1779,1948,2.0,9.0,12.0,58.0,35,27.2,7.1,40.0,4.0
1067,1775,1947,10.0,6.0,19.0,55.0,37,22.0,6.9,28.0,2.0
1068,1764,1946,8.0,2.0,19.0,18.0,-26,-70.5,7.9,60.0,9.0
1069,1759,1945,1.0,12.0,18.0,38.0,34,137.2,7.1,33.0,-0.5
1070,1752,1943,4.0,6.0,16.0,7.0,-30,-72.0,8.2,35.0,
1071,1751,1942,8.0,24.0,22.0,50.0,-15,-76.0,8.2,60.0,1.0
1072,1750,1942,5.0,22.0,10.0,30.0,4,-74.5,5.8,130.0,1.0
1073,1748,1941,12.0,5.0,20.0,46.0,8,-83.2,7.6,,-3.0
1074,1746,1941,6.0,26.0,11.0,52.0,11,92.626,8.0,20.0,
1075,1739,1940,5.0,24.0,16.0,33.0,-10,-77.0,8.2,60.0,1.5
1076,1738,1939,12.0,21.0,21.0,0.0,0,123.0,8.0,150.0,
1077,1736,1939,6.0,22.0,19.0,19.0,5,-0.13,6.4,13.0,
1078,1734,1939,5.0,1.0,5.0,58.0,40,139.5,7.0,,0.0
1079,1730,1939,1.0,30.0,2.0,18.0,-7,155.386,7.7,35.0,1.0
1080,1729,1939,1.0,25.0,3.0,32.0,-36,-72.25,8.3,60.0,
1081,1722,1938,11.0,10.0,20.0,18.0,55,-158.37,8.2,25.0,
1082,1718,1938,11.0,6.0,8.0,53.0,37,141.8,7.5,0.0,-0.5
1083,1717,1938,11.0,5.0,10.0,50.0,37,141.7,7.6,30.0,-0.5
